time,x,y,z
18071,.035,-.057,-.011
18089,.035,-.045,.008
18112,.032,-.038,.039
18130,.028,-.033,.069
18148,.027,-.032,.066
18180,-.014,-.029,.047
18191,-.050,-.049,.034
18217,-.029,-.035,.015
18224,.006,-.015,-.014
18246,.011,-.004,-.024
18266,.017,.006,-.023
18291,.037,.021,-.042
18306,.066,.026,-.068
18326,.079,.031,-.083
18349,.068,.020,-.080
18363,.057,.017,-.075
18382,.063,.011,-.064
18416,.069,.004,-.036
18420,.055,-.004,-.002
18446,.023,-.015,.025
18458,.004,-.027,.052
18481,-.003,-.029,.075
18500,-.010,-.024,.086
18518,-.026,-.027,.078
18545,-.044,-.024,.074
18567,-.029,-.009,.076
18586,.013,.010,.078
18597,.046,.031,.076
18616,.040,.035,.080
18633,.012,.029,.091
18653,.013,.023,.083
18674,.021,.018,.063
18697,.008,.015,.055
18714,-.036,-.001,.052
18733,-.064,-.017,.036
18753,-.061,-.037,.022
18774,-.053,-.044,.031
18793,-.039,-.043,.045
18814,-.042,-.040,.033
18833,-.064,-.039,.021
18851,-.067,-.018,.022
18869,-.053,-.001,.021
18890,-.023,.018,.002
18913,.007,.034,-.033
18930,.012,.043,-.047
18950,.002,.043,-.040
18966,.007,.033,-.025
18988,.022,.032,-.005
19011,.024,.022,.011
19028,-.006,.001,.019
19050,-.037,-.027,.020
19063,-.061,-.046,.004
19090,-.106,-.056,-.020
19117,-.210,-.060,-.027
19121,-.395,-.070,-.011
19143,-.970,.092,-.016
19179,-2.590,.342,-.019
19181,-5.653,.301,.033
19200,-9.750,-.149,-.024
19224,-14.594,-.709,-.248
19240,-18.699,-1.043,-.166
19261,-20.138,-1.162,.213
19283,-18.908,-1.189,.505
19296,-15.004,-.855,.283
19315,-8.059,-.166,-.077
19335,-.453,.281,-.275
19363,5.511,.430,-.653
19375,8.959,.836,-.600
19394,10.862,1.073,-.039
19415,14.424,1.497,.089
19440,19.383,.516,-.782
19455,22.801,-.649,-1.742
19473,23.759,.613,-2.334
19498,18.537,1.554,-1.879
19517,7.075,.661,-.909
19537,-4.336,.484,-.470
19558,-10.364,-.503,.149
19572,-9.862,-2.111,.753
19596,-6.619,-.270,.279
19612,-6.949,1.019,.206
19635,-12.700,.573,.548
19651,-18.264,-.605,.105
19668,-22.225,-1.848,.215
19694,-22.315,-1.731,1.093
19716,-16.905,-.870,1.372
19728,-6.246,-.768,-.170
