time,x,y,z
17534,-.007,-.004,.048
17547,-.006,-.001,.047
17567,.029,.004,.037
17589,.033,.008,.028
17612,.016,.010,.027
17632,.014,.011,.020
17655,.032,.000,.010
17671,.044,-.009,.001
17685,.043,-.001,.005
17705,.029,.014,.009
17731,-.003,.041,-.004
17746,-.110,.174,-.023
17767,-.150,.335,-.011
17790,-.055,.486,.033
17809,-.089,.569,.012
17831,-.184,.396,-.085
17848,-.146,.002,.004
17867,-.352,.510,-.545
17887,-1.310,.336,.001
17907,-1.058,.031,-.095
17927,.111,.093,-.459
17946,.787,.385,-.469
17963,.560,-.018,-.654
17992,.524,-.425,-.269
18017,.638,-.488,-.056
18029,.150,-.563,-.015
18052,-.682,-.685,.091
18066,-.770,-.753,.342
18090,-.578,-.774,-.067
18112,.095,-.420,.193
18124,.256,-.315,.143
18146,.003,-.293,.022
18171,-.115,-.267,.055
18191,-.027,-.206,.098
18210,.003,-.125,.089
18226,.137,-.068,.075
18250,.185,.008,.127
18270,.166,.196,.066
18284,.258,.476,.126
18305,-.502,.859,.065
18325,-2.559,.804,-.415
18355,-4.339,.523,-.887
18371,-4.399,.691,-1.235
18384,-.733,-.346,-.217
18404,.462,-.182,-.437
18422,1.624,.121,-.324
18443,1.593,.065,-.369
18468,2.227,-.022,-.520
18486,2.618,-.303,.048
18510,1.813,-.498,.293
18527,.526,-.508,.134
18542,.043,-.608,.266
18563,-.115,-.570,.142
18584,.457,-.147,.144
18609,.799,.129,.126
18626,.293,.219,.055
18650,-.295,.248,.040
18667,-.426,.223,.051
18682,-.223,.189,.060
18725,-.149,.168,.064
18726,-.184,.130,.062
18742,-.170,.102,.065
18764,-.106,.087,.076
18782,-.032,.066,.073
18803,.016,.063,.071
18826,.053,.046,.086
18842,.067,.013,.104
18862,.097,-.009,.122
18882,.072,-.015,.133
18904,.027,-.046,.132
18925,-.019,-.033,.141
18943,-.056,-.041,.128
18962,-.008,-.062,.087
18982,.028,-.059,.073
19001,-.008,-.052,.062
19022,-.056,-.033,.053
19044,-.054,-.026,.044
19063,-.010,-.048,.010
19086,.020,-.051,.003
19106,.022,-.044,.000
19131,.023,-.022,-.001
19142,.036,.008,.004
19159,.001,.032,.010
19178,-.011,.052,.015
19205,-.023,.053,.022
19225,-.013,.043,.021
19243,-.016,.031,.023
19260,-.013,.020,.027
19279,-.005,.008,.020
19303,.004,-.002,.022
19330,.001,-.004,.027
19346,-.011,-.001,.027
19364,-.012,-.001,.031
19378,-.011,-.002,.032
19399,-.005,.004,.023
19424,.021,-.001,.018
19439,.025,.000,.018
19469,.034,.005,.025
19481,.032,.009,.022
19499,.012,.011,.017
19525,.020,.018,.012
19546,-.003,.021,.015
19559,-.002,.020,.015
19581,.006,.021,.012
19599,.009,.022,.015
19622,.017,.014,.012
19643,.020,.005,.016
19662,.008,-.009,.012
19688,.000,-.018,.009
19701,-.003,-.019,.010
19727,.006,-.019,.006
19742,.022,-.019,-.002
19757,.020,-.015,-.012
19778,.005,-.003,-.018
19797,-.016,.003,-.015
19826,-.014,.013,-.008
19842,-.012,.014,-.004
19860,-.001,.011,-.002
19875,.009,.010,.005
19898,.016,.003,.015
19920,.012,.005,.017
19939,.025,.011,.010
19957,.093,.077,.000
19977,.149,.284,.027
19997,.252,.512,.071
20014,.764,.492,.258
20039,1.117,.307,.001
20059,.744,-.105,.012
20077,-.672,.529,-.225
20093,-2.112,-.444,.481
20117,-1.024,-.461,.192
20141,-.029,-.399,-.216
20161,.613,.170,-.128
20181,.113,-.288,-.104
20200,.345,-.307,.208
20225,.249,-.332,.237
20238,-.300,-.338,.149
20256,-.737,-.376,.297
20276,-.631,-.271,-.077
20296,.130,.147,.093
20324,.309,.172,.078
20341,.034,.124,.039
20360,-.190,.092,.043
20379,-.179,.059,.060
20395,-.112,.004,.047
20416,-.116,-.036,.022
20441,-.151,-.039,.016
20453,-.093,.007,-.012
20479,-.003,.071,-.038
20500,.130,.200,-.033
20512,.343,.389,.015
20534,.530,.399,.007
20553,.155,.151,-.266
20571,-.073,-.261,-.205
20591,-.188,.063,-.293
20626,-.920,-.454,-.019
20634,-.188,-.621,-.076
20656,.391,-.175,-.261
20682,.877,.411,-.418
20694,.594,-.157,-.116
20713,.540,-.215,.139
20737,.158,-.248,.083
