time,x,y,z
16934,.018,.033,.165
16954,.006,.204,.150
16979,.070,.028,.081
16999,.005,.055,.110
17022,.042,.038,.135
17032,.082,.236,.061
17051,.103,.337,-.117
17071,.190,.147,-.095
17097,.106,.196,-.003
17121,.146,-.036,-.063
17139,.035,.013,.009
17151,-.004,.120,-.042
17176,-.064,.174,-.097
17195,-.023,.186,-.288
17211,.022,.103,-.297
17232,.050,-.058,-.074
17257,.102,-.002,.076
17274,.131,-.074,.060
17296,.036,-.100,-.030
17315,.129,-.015,-.047
17340,-.014,.020,.056
17355,.093,.004,.031
17375,.108,-.033,.072
17389,.039,.025,-.014
17409,.078,.063,-.051
17430,.105,.062,-.013
17459,.101,-.045,.099
17470,.101,.107,.184
17490,.061,.150,.076
17516,-.058,.246,-.070
17534,.021,.188,-.035
17548,.048,.179,.007
17568,.070,.024,.012
17589,.078,.017,.049
17613,.105,.055,.033
17634,.113,.023,.046
17655,.118,-.035,.026
17672,.029,-.023,-.016
17687,.130,.020,-.029
17708,.137,.097,-.041
17733,.066,.169,-.202
17747,.268,.110,-.396
17768,.341,-.023,-1.431
17791,.694,-.074,-2.311
17810,1.042,.357,-2.548
17830,.499,-.357,-2.255
17851,1.311,-.708,1.062
17868,1.672,.213,1.080
17888,-5.385,1.305,18.563
17909,-.688,3.947,-11.381
17928,1.757,-2.660,1.978
17949,1.112,-2.066,-1.889
17965,-2.623,-.114,5.014
17992,-1.618,-.221,3.677
18018,-.523,-1.720,1.096
18030,-.162,.561,-.502
18054,.446,2.700,1.130
18066,-.094,2.869,1.547
18091,.733,1.260,-1.064
18111,.715,-3.932,-3.796
18127,-.036,.479,-1.578
18147,-.244,1.115,-.581
18171,-.223,.717,-.513
18191,-.147,-.023,-.714
18210,-.204,.225,-.404
18227,.075,.237,-.877
18251,.347,.063,-1.220
18270,.321,.051,-1.278
18284,1.359,-.288,-1.939
18306,1.855,-.452,-2.718
18326,1.288,.095,-3.032
18354,1.327,1.133,3.488
18372,-1.011,.466,2.926
18386,-6.949,-2.526,2.662
18405,2.523,1.229,-10.249
18424,3.077,-2.478,.486
18444,-.717,.222,-1.734
18470,-1.331,.115,2.779
